week_index,group,alpha,beta_mkt,beta_hml,beta_smb,sigma,week_return1,week_return4,week_return13
4,29,-0.049209357,0.293131661,0.075494535,0.261544955,0.017872906,0.967759512,0.985365235,1.013142431
4,30,-0.032131189,0.081701543,0.078566137,0.043584727,0.010431887,1.033793895,1.005607899,1.004687574
5,1,0.101959185,2.43841436,0.995173454,3.293050667,0.263334914,0.956139819,0.951147532,0.97447858
5,2,0.024138508,4.398911059,5.389761505,6.705671816,0.094409808,0.943532336,0.89213115,0.901032731
5,3,0.011431711,2.185060788,4.116791939,2.354584886,0.045451928,1.039229219,1.051427971,1.034563661
5,4,0.009100927,1.428151705,0.494091204,-1.35027247,0.036644067,1.009560888,1.029191206,1.031482519
5,5,0.016145329,1.599993881,-3.353069168,-0.162881522,0.079273058,0.885610263,0.898878336,0.898066904
5,6,0.005123828,0.966604558,1.636221772,0.912472944,0.034756804,1.099841173,1.059359103,1.039136334
5,7,0.008298764,-0.458057893,-0.522243721,-0.441167201,0.061699698,1.012975957,1.000217343,1.016976735
5,8,0.006473859,-0.439751468,-0.071717346,-0.123878108,0.052875544,0.95561919,0.988539884,0.982369205
5,9,0.003169382,0.897189479,1.221195102,0.585034021,0.030178194,1.053762434,1.03001638,1.026626762
5,10,0.00330512,0.172801671,0.376470712,0.119581914,0.031692909,1.027399013,1.013643486,1.015788446
5,11,0.003366573,1.255571607,1.99145064,1.177267028,0.032781364,1.054999531,1.026610318,1.020483512
5,12,0.010743041,-0.082891762,0.791688608,0.506942584,0.112488557,0.975662284,0.955549039,0.980851752
5,13,0.004860933,1.477004092,3.647725176,2.426672047,0.077816516,0.960469206,0.932193226,0.942797355
5,14,0.001912687,1.097486408,-2.035320111,-0.165357422,0.034666631,0.886392248,0.898926049,0.911024769
5,15,0.002672922,2.089057685,-0.985444908,1.707593074,0.050021232,0.876549809,0.86458332,0.855956217
5,16,0.001173215,-0.115645348,-0.058976723,-0.078898405,0.024630571,0.969578022,0.998551915,0.99841353
5,17,0.000755424,0.294722491,0.402844182,0.196699886,0.0173435,1.015434093,0.998792421,0.992377172
5,18,0.00023437,1.140267438,0.647340701,-1.090108746,0.021443686,1.010254134,1.005226985,1.00483818
5,19,-0.000775707,2.88278896,4.181205115,4.612102052,0.051748591,0.9173629,0.890891692,0.898273043
5,20,-0.00024157,0.149297752,0.148540188,0.044032824,0.009579501,1.002110304,1.005086758,1.005056501
5,21,-0.000631062,0.759191722,0.804216579,-0.36384784,0.0164758,1.03754164,1.031718184,1.025848204
5,22,-0.000851577,0.9975647,1.177500164,0.800842333,0.019457393,1.010225162,0.998387577,0.99473644
5,23,-0.001067244,0.861166884,0.301652932,-0.128069981,0.019871138,1.004122423,1.00795158,1.004325271
5,24,-0.002410094,0.860478976,-0.478879092,0.130386148,0.022001855,0.928438933,0.95884969,0.959487679
5,25,-0.004275823,1.760346269,1.032127769,1.640769295,0.028759757,0.938577119,0.932874114,0.92839812
