new_index,alpha,beta_mkt,beta_hml,beta_smb,sigma,class
181,0.000667098,0.659492492,0.817450475,1.082989492,0.019178656,0
182,0.000103738,1.054682547,0.147099239,0.585897496,0.011901428,0
183,0.00155916,0.133405728,0.063406049,-0.366140731,0.016465111,0
184,-0.000735504,-0.079880304,0.121135469,-0.057119076,0.012679021,1
185,0.004378923,-0.007936094,0.324900534,-0.55166552,0.036012104,0
186,0.000337706,1.209391739,0.703929397,-1.202698058,0.023266761,0
187,-0.000429694,0.365186564,0.151977179,0.383897206,0.005992048,0
188,4.69E-05,2.067336068,1.439043038,1.167852041,0.025366572,0
189,0.000515101,2.028808955,4.088833094,1.912089372,0.019493382,0
190,-0.002184986,2.523660685,2.444307329,1.545507267,0.024083086,0
191,-4.06E-05,0.007336296,-0.007037808,0.009579468,0.001717081,0
192,0.00637398,1.370621639,1.795984622,3.047756893,0.084371099,0
193,0.001971165,0.916645869,-1.365920672,0.333564712,0.01972894,0
194,0.055707232,0.82070346,0.967925727,2.776895578,0.298538569,1
195,0.011204694,1.243840842,0.366847181,3.361626299,0.102445509,0
196,-0.000728189,1.174556571,-0.323930491,1.833065021,0.013907383,1
197,0.039323519,-0.128509514,-0.270631517,0.200696346,0.176540465,0
198,0.007613502,1.158264768,0.125722396,2.23376199,0.051681543,1
199,0.005051279,0.251214573,1.08290194,0.776933704,0.086150018,0
200,6.22E-05,1.259142259,1.101375609,1.004709223,0.01381407,1
201,-0.058225623,0.448035617,0.334809384,0.285162363,0.021872404,0
202,0.000224458,-0.013900037,-0.175783379,-0.264668313,0.013050364,0
203,-0.001038938,1.187179653,0.246546825,1.295462541,0.009316565,0
204,-0.001917706,1.765812258,0.376579291,1.04008569,0.013439463,0
205,-0.00203467,0.721483947,0.4869021,1.097969729,0.009687412,0
206,0.00150356,5.82754686,5.083012463,2.765771755,0.05234629,1
207,-0.00122037,0.868331714,0.557972136,2.223068179,0.018443023,1
208,0.000823242,0.86761309,0.923163389,1.126037836,0.018922147,1
209,-9.71E-05,0.000498706,0.000836939,0.003537708,0.00072616,0
